ConcernCode;ent_RechtsVorm_ent_RechtsVorm;c_naam;jaar;omzet_jeugdwet;omzet_totaal;eigen_vermogen;totaal_passiva;vlot_act;liq_mid;pers_kost_tot;kort_schulden;Bedrijfsresultaat;Nettowinst;jeugdwet_clienten;kosten_tot;qPersVerloopTot_InstroomFte;qPersVerloopTot_UitstroomFte;qPersTotTot_AantalFte;percentage_omzet_uit_jeugdwet;current_ratio;solvabiliteit;Weerstand;Vermogen_boven_15procent;percentage_bedrijfsresultaat;percentage_nettowinst;percentage_personeelskosten
23F5BD68JC;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Viverè Coaching B.V.;2019;273024;724827;1;287033;285958;182046;133885;0;269565;215452;0;455262;4;1;6;0,37667471;#GETAL!;3,48392E-06;1,37964E-06;-108723,05;0,371902537;0,297246101;0,184713042
279DQ5GAZW;Vennootschap onder firma (VoF);Zorgboerderij de Buorren (V.O.F.);2019;1165520;1539973;-64858;1006084;343063;0;1412448;753803;-90288;-102197;56;1630261;5,5;1;5;0,756844438;0,455109624;-0,06446579;-0,042116323;-295853,95;-0,058629599;-0,066362852;0,917190107
279DQ5GAZW;Vennootschap onder firma (VoF);Zorgboerderij de Buorren (V.O.F.);2018;931442;1266803;212661;963774;258306;0;727103;400092;133155;107677;41,6;1133648;14;14;6;0,735269809;0,645616508;0,220654427;0,167872195;22640,55;0,105111055;0,084999009;0,573966907
2CVGBNQFBL;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Hachiko-kids B.V.;2019;156598;156598;28464;37078;33926;31926;18137;0;14512;11987;0;142086;1,5;0;1,5;1;#GETAL!;0,767678947;0,181764773;4974,3;0,092670404;0,076546316;0,115818848
2F6T994S5W;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Dikke Duim! B.V.;2019;328842;328842;177;111142;110723;31862;0;0;-37;480;0;328879;3,75;0;3,75;1;#GETAL!;0,001592557;0,000538252;-49149,3;-0,000112516;0,001459668;0
2FJ775FMWQ;Besloten vennootschap (BV) met Raad van Toezicht / Raad van Commissarissen;Educatieve zorgboerderij Landelijk leven B.V.;2019;231045;480083;120907;172800;114550;46622;88956;0;209220;209220;0;270863;4,22;0,88;6,47;0,481260532;#GETAL!;0,699693287;0,251846035;48894,55;0,435799643;0,435799643;0,18529296
2FJ775FMWQ;Eenmanszaak;Educatieve zorgboerderij Landelijk leven (Eenmanszaak);2018;168970;305017;133035;149287;87815;40384;87745;0;122497;89807;0;182520;2;0,5;4,25;0,553969123;#GETAL!;0,891135866;0,436156018;87282,45;0,401607124;0,294432769;0,28767249
2KNMNZJXFN;Vennootschap onder firma (VoF);Zorgboerderij Erve Wessels V.O.F.;2019;206268;314236;240350;382024;198880;183147;0;0;203102;197451;0;111134;0;0;0;0,656411105;#GETAL!;0,629148954;0,764870989;193214,6;0,646335875;0,628352576;0
2KNMNZJXFN;Vennootschap onder firma (VoF);Zorgboerderij Erve Wessels V.O.F.;2018;205114;280871;233670;341317;192754;166656;0;0;151482;146622;0;129389;0;0,33;0,66;0,730278313;#GETAL!;0,684612838;0,831947762;191539,35;0,539329443;0,522026126;0
2QVTUVPPLT;Stichting;Klein Voorhout (Stichting);2019;1300730;1764314;105963;736732;242201;53176;1430551;286295;433;-14881;34,68;1763881;2;3,15;20,89;0,737244051;0,845984037;0,143828421;0,060059037;-158684,1;0,000245421;-0,00843444;0,810825624
2QVTUVPPLT;Stichting;Klein Voorhout (Stichting);2018;1151046;1687209;120845;859327;279103;104521;1239930;333109;30717;13223;39,44;1656492;5,03;2;20,89;0,682218978;0,837872888;0,140627491;0,071624203;-132236,35;0,018205806;0,007837203;0,734900063
2V3BJ2UKMX;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Scoor Pleegzorg B.V.;2019;769357;769357;92749;223167;223167;8978;199077;0;51259;41792;0;718098;0,67;0;3,44;1;#GETAL!;0,415603561;0,120553917;-22654,55;0,066625767;0,054320686;0,258757638
2V3BJ2UKMX;Besloten vennootschap (BV) zonder Raad van Toezicht / Raad van Commissarissen;Scoor Pleegzorg B.V.;2018;552300;552300;50957;99047;99047;3437;54424;0;52275;43100;0;500025;1,56;0,89;3,45;1;#GETAL!;0,514472927;0,092263263;-31888;0,094649647;0,078037299;0,098540648
2YNVFCK8JW;Vennootschap onder firma (VoF);Gezinshuis Niet zonder Lola;2019;109574;110499;-5410;7486;6208;6208;0;0;55813;55609;0;54686;0;0;2;0,991628884;#GETAL!;-0,72268234;-0,048959719;-21984,85;0,505099594;0,503253423;0
2YNVFCK8JW;Vennootschap onder firma (VoF);Gezinshuis Niet zonder Lola;2018;106099;107949;-4750;9464;8599;8599;0;0;66468;66172;0;41481;0;0;2;0,982862278;#GETAL!;-0,501901944;-0,04400226;-20942,35;0,615735208;0,612993173;0
32LLR57VRC;Vennootschap onder firma (VoF);Gezinshuis Annexus;2019;46342;46342;14162;14591;11357;6789;0;0;14162;14162;0;32180;1;0;1;1;#GETAL!;0,970598314;0,305597514;7210,7;0,305597514;0,305597514;0
354GNZAYCB;Eenmanszaak;Syncope;2019;200395;338792;88069;222086;123338;88194;66864;0;334737;334737;0;4055;0;0;4;0,591498619;#GETAL!;0,396553587;0,259950058;37250,2;0,988031004;0,988031004;0,197360032
354GNZAYCB;Eenmanszaak;Syncope;2018;135471;328480;107108;238327;139394;83708;8477;0;258345;258345;0;70135;0;0;2,5;0,412417803;#GETAL!;0,449416138;0,326071603;57836;0,78648624;0,78648624;0,025806746
35566VNXNK;Stichting;Triade-Vitree (Stichting);2019;43056823;129043728;47487795;93402383;51854699;40410937;97042015;27772026;843817;113224;3337,75;128199911;210;230;1329;0,333660718;1,867155785;0,508421664;0,367997699;28131235,8;0,006539;0,000877408;0,752008769
35566VNXNK;Stichting;Triade-Vitree (Stichting);2018;36617055;119999392;46638558;88161465;45728785;35679169;86145224;20119449;1722128;889459;3344,9;118277264;202,2;259,6;1330,1;0,305143671;2,272864679;0,529012965;0,388656619;28638649,2;0,014351139;0,007412196;0,717880504
35AZ2ATKEB;Stichting;Karakter (Stichting);2019;61953678;71170480;12988693;36221325;15226762;596987;60596328;12647726;606611;459576;7884,48;70563869;144,79;157,05;783,44;0,870496841;1,20391302;0,358592431;0,18250113;2313121;0,008523351;0,006457396;0,851425029
35AZ2ATKEB;Stichting;Karakter (Stichting);2018;61394815;68746549;12529117;37447844;16841226;54617;56242595;13389445;942768;457803;7867,2;67803781;139,55;98,31;762;0,893060319;1,257798662;0,334575123;0,18225085;2217134,65;0,013713677;0,006659287;0,818115175
35X9F6HSEK;Besloten vennootschap (BV) met Raad van Toezicht / Raad van Commissarissen;Pro Juventus B.V.;2018;3484623;6094287;1453903;2611355;2346415;1369;5075536;1121104;-27095;-28269;1684,98;6121382;20,7;8,7;67,77;0,571785182;2,092950342;0,556761911;0,238568187;539759,95;-0,004445967;-0,004638607;0,83283508
3839XFTRQ2;Stichting;Klimkoord (Stichting);2019;1855296;2653204;304346;843236;831754;420425;1808495;0;-2377;-3073;0;2655581;0;0;0;0,699266246;#GETAL!;0,360926241;0,114708858;-93634,6;-0,000895898;-0,001158222;0,681626818
3839XFTRQ2;Stichting;Klimkoord (Stichting);2018;2075652;2169761;490000;759096;759096;345890;1025137;0;307801;307478;0;1861960;0;0;0;0,95662702;#GETAL!;0,645504653;0,225831324;164535,85;0,141859403;0,141710539;0,472465401
38AV6HLP6Q;Vennootschap onder firma (VoF);Boerderij de Boterbloem;2019;499023;499023;733115;1513000;164068;51024;312242;0;136631;126504;0;362392;1;1;6;1;#GETAL!;0,484543952;1,469100623;658261,55;0,273796999;0,253503346;0,625706631
38AV6HLP6Q;Vennootschap onder firma (VoF);Boerderij de Boterbloem;2018;563074;563074;647008;1478974;228716;178948;150540;0;78189;64898;0;484885;1;0,5;6;1;#GETAL!;0,437470841;1,149063889;562546,9;0,138860967;0,115256609;0,267353847
38NHYWN5EY;Besloten vennootschap (BV) met Raad van Toezicht / Raad van Commissarissen;Nova Kwaliteit in Zorg B.V.;2018;143855;743809;622608;1063933;1057395;77781;669181;428624;-13617;-9221;98,35;757426;2,56;10,56;8,87;0,193403145;2,466952387;0,585194744;0,837053598;511036,65;-0,018307119;-0,012397;0,899667791
3CQDGTJVQY;Vennootschap onder firma (VoF);Zorgboerderij De Balloohoeve V.O.F.;2019;156144;481597;75311;85507;85507;39904;130865;0;123091;122684;0;358506;0,54;0,78;3,9;0,324221289;#GETAL!;0,8807583;0,156377635;3071,45;0,255589217;0,254744112;0,271731344
3CQDGTJVQY;Vennootschap onder firma (VoF);Zorgboerderij De Balloohoeve V.O.F.;2018;0;321477;35047;43020;42607;8564;130459;0;113679;113339;0;207798;0,8;0;3,35;0;#GETAL!;0,814667596;0,109018686;-13174,55;0,353614722;0,352557104;0,405811302
3CQSA6Z3Z2;Stichting;Zorg voor Kidzz (Stichting);2019;224212;257416;30783;54513;34056;2553;200908;0;27215;27215;0;230201;0,33;0;3,6;0,871010349;#GETAL!;0,564690991;0,119584641;-7829,4;0,105723809;0,105723809;0,780479846
3CQSA6Z3Z2;Stichting;Zorg voor Kidzz (Stichting);2018;211540;248864;3571;45357;34699;8449;149191;0;-16022;-16022;0;264886;0;0;3;0,850022502;#GETAL!;0,078730957;0,014349203;-33758,6;-0,064380545;-0,064380545;0,599488074
3G3ELY3VF9;Vennootschap onder firma (VoF);Pony Recreatie Het Lamoen;2019;154958;304889;98420;291438;47421;8312;85319;0;98020;90604;0;206869;0;0;2,68;0,508243984;#GETAL!;0,337704761;0,322806005;52686,65;0,321494052;0,297170446;0,279836268
3G3ELY3VF9;Vennootschap onder firma (VoF);Pony Recreatie Het Lamoen;2018;133200;283749;80983;283526;42095;14403;68878;0;85080;76426;0;198669;0;0;2,68;0,469428967;#GETAL!;0,285628126;0,285403649;38420,65;0,299842466;0,269343681;0,242742706
3G52VQG8G7;Vennootschap onder firma (VoF);Bewegender-Wijs;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;#GETAL!;#GETAL!;#GETAL!;#GETAL!;0;#GETAL!;#GETAL!;#GETAL!
3G52VQG8G7;Vennootschap onder firma (VoF);Bewegender-Wijs;2018;25537;72773;12898;14692;8466;2740;11718;0;44610;44574;0;28163;0;0;0,08;0,350913113;#GETAL!;0,877892731;0,177236063;1982,05;0,613002075;0,612507386;0,161021258
3G5DH7PEJG;Eenmanszaak;Psychologisch Pedagogisch Adviesbureau Winkler (Eenmanszaak);2019;81575;128158;12315;13615;13615;3212;38153;0;74684;74684;0;53474;0;0,25;0,15;0,636518984;#GETAL!;0,904517077;0,096092324;-6908,7;0,582749419;0,582749419;0,297702836
3G5DH7PEJG;Eenmanszaak;Psychologisch Pedagogisch Adviesbureau Winkler (Eenmanszaak);2018;82886;134686;15597;17147;17147;4343;36438;0;77536;77536;0;57150;0,2;0,02;0,4;0,615401749;#GETAL!;0,909605179;0,115802682;-4605,9;0,575679729;0,575679729;0,270540368
3G84V8H27K;Maatschap;OPB (Maatschap);2019;69312;134607;19628;25026;18593;18593;22396;0;64245;53107;0;70362;0,2;0;1,5;0,514921215;#GETAL!;0,784304324;0,145817082;-563,05;0,477278299;0,394533717;0,166380649
